year,gender,mean_score,social_intelligence,cognitive_efficacy,self_esteem,emotional_intelligence,resilience
2011,All,7.65,7.83,7.82,7.62,7.66,7.35
2011,Male,7.6,7.78,7.81,7.58,7.62,7.29
2011,Female,7.7,7.88,7.82,7.66,7.7,7.41
